movie,year,timeMin,imdb,metascore,votes,us_grossMillions
Rebecca,1940,130,8.1,86,119627,4.36
Nightcrawler,2014,117,7.9,76,450541,32.38
Dazed and Confused,1993,102,7.6,78,161800,7.99
La La Land,2016,128,8,94,489355,151.1
Scarface,1983,170,8.3,65,722741,45.6
The Social Network,2010,120,7.7,95,609920,96.96
A Clockwork Orange,1971,136,8.3,77,741609,6.21
The Breakfast Club,1985,97,7.9,66,349707,45.88
The Revenant,2015,156,8,76,686335,183.64
"Three Billboards Outside Ebbing, Missouri",2017,115,8.2,88,413115,54.51
Captain America: Civil War,2016,147,7.8,75,645659,408.08
There Will Be Blood,2007,158,8.2,93,504078,40.22
Spirited Away,2001,125,8.6,96,628574,10.06
Life Is Beautiful,1997,116,8.6,59,607008,57.6
The Martian,2015,144,8,80,742198,228.43
Incendies,2010,131,8.3,80,143166,6.86
Heat,1995,170,8.2,76,563455,67.44
Harry Potter and the Half-Blood Prince,2009,153,7.6,78,459062,301.96
Logan,2017,137,8.1,77,629039,226.28
Her,2013,126,8,90,525232,25.57
The Lord of the Rings: The Two Towers,2002,179,8.7,87,1452161,342.55
Ex Machina,2014,108,7.7,78,463553,25.44
Harry Potter and the Deathly Hallows: Part 1,2010,146,7.7,65,464047,295.98
A Beautiful Mind,2001,135,8.2,72,829135,170.74
Baby Driver,2017,113,7.6,86,423798,107.83
Ferris Bueller's Day Off,1986,103,7.8,61,314549,70.14
The Grand Budapest Hotel,2014,99,8.1,88,688989,59.1
Stardust,2007,127,7.6,66,250580,38.63
Terminator 2: Judgment Day,1991,137,8.5,75,976585,204.84
Rogue One: A Star Wars Story,2016,133,7.8,65,539576,532.18
Changeling,2008,141,7.7,63,234267,35.74
Toy Story 4,2019,100,7.8,84,190157,434.04
Dead Poets Society,1989,128,8.1,79,412179,95.86
Full Metal Jacket,1987,116,8.3,76,659488,46.36
The Fifth Element,1997,126,7.7,52,426507,63.54
Love Actually,2003,135,7.6,55,416157,59.7
Donnie Darko,2001,113,8,88,729141,1.48
V for Vendetta,2005,132,8.2,62,1011292,70.51
12 Angry Men,1957,96,8.9,96,670152,4.36
The Truman Show,1998,103,8.1,90,912684,125.62
Almost Famous,2000,122,7.9,90,248031,32.53
Home Alone,1990,103,7.6,63,452309,285.76
Adaptation.,2002,115,7.7,83,174673,22.25
Catch Me If You Can,2002,141,8.1,75,802623,164.62
Platoon,1986,120,8.1,92,373968,138.53
Marriage Story,2019,137,8,94,228772,2
Coco,2017,105,8.4,81,354237,209.73
The Hobbit: An Unexpected Journey,2012,169,7.8,58,746704,303
The Help,2011,146,8,62,420190,169.71
The Hateful Eight,2015,168,7.8,68,500216,54.12
Casino,1995,178,8.2,73,453924,42.44
Drive,2011,100,7.8,78,559588,35.06
Aliens,1986,137,8.3,84,640551,85.16
Hacksaw Ridge,2016,139,8.1,71,419685,67.21
The Big Short,2015,130,7.8,81,349884,70.26
Apocalypto,2006,139,7.8,68,286619,50.87
Raiders of the Lost Ark,1981,115,8.4,85,866841,248.16
The Sixth Sense,1999,107,8.1,64,895766,293.51
Mulholland Drive,2001,147,8,85,313657,7.22
2001: A Space Odyssey,1968,149,8.3,84,589136,56.95
The Terminator,1984,107,8,84,785693,38.4
The Thing,1982,109,8.1,57,360922,13.78
The Girl with the Dragon Tattoo,2011,158,7.8,71,412446,102.52
Airplane!,1980,88,7.7,78,209153,83.4
The Perks of Being a Wallflower,2012,103,8,67,452482,17.74
American History X,1998,119,8.5,62,1015628,6.72
"The Good, the Bad and the Ugly",1966,178,8.8,90,673744,6.1
Fargo,1996,98,8.1,85,601979,24.61
Kick-Ass,2010,117,7.6,66,518224,48.07
Spotlight,2015,129,8.1,93,407862,45.06
E.T. the Extra-Terrestrial,1982,115,7.8,91,363423,435.11
The Handmaiden,2016,145,8.1,84,105306,2.01
Blue Is the Warmest Colour,2013,180,7.7,89,135653,2.2
Snatch,2000,102,8.3,55,767678,30.33
Rocky,1976,120,8.1,70,507078,117.24
True Romance,1993,119,7.9,59,202899,12.28
Oldboy,2003,101,8.4,77,502161,0.71
About Time,2013,123,7.8,55,290447,15.32
Come and See,1985,142,8.3,0,54660,
The Godfather: Part III,1990,162,7.6,60,351073,66.67
The Hangover,2009,100,7.7,73,706780,277.32
The Exorcist,1973,122,8,81,354707,232.91
Into the Wild,2007,148,8.1,73,561620,18.35
Million Dollar Baby,2004,132,8.1,86,624323,100.49
Braveheart,1995,178,8.3,68,942891,75.6
300,2006,117,7.6,52,723187,210.61
Midnight in Paris,2011,94,7.7,81,380755,56.82
To Have and Have Not,1944,100,7.8,0,30335,
Pan's Labyrinth,2006,118,8.2,98,607825,37.63
Die Hard,1988,132,8.2,72,769031,83.01
Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82,1133989,290.48
Ocean's Eleven,2001,116,7.7,74,505189,183.42
Sin City,2005,124,8,74,733536,74.1
Kill Bill: Vol. 1,2003,111,8.1,69,979039,70.1
Hot Fuzz,2007,121,7.8,81,454902,23.64
Superbad,2007,113,7.6,76,512118,121.46
Reservoir Dogs,1992,99,8.3,79,898185,2.83
Tombstone,1993,130,7.8,50,123373,56.51
X-Men: First Class,2011,131,7.7,65,637602,146.41
Ratatouille,2007,111,8,96,625830,206.45
Scent of a Woman,1992,156,8,59,254557,63.9
Moneyball,2011,133,7.6,87,355548,75.61
Once Upon a Time in America,1984,229,8.4,0,303018,5.32
Ghostbusters,1984,105,7.8,71,347803,238.63
Star Wars: Episode VII - The Force Awakens,2015,138,7.9,80,846010,936.66
Shaun of the Dead,2004,99,7.9,76,503013,13.54
Wonder,2017,113,8,66,134924,132.42
Birdman or (The Unexpected Virtue of Ignorance),2014,119,7.7,87,567480,42.34
What We Do in the Shadows,2014,86,7.7,76,151201,3.33
Big Fish,2003,125,8,58,408952,66.26
The Imitation Game,2014,114,8,73,669291,91.13
Star Trek,2009,127,7.9,82,572204,257.73
12 Years a Slave,2013,134,8.1,96,625819,56.67
East of Eden,1955,118,7.9,72,39480,
My Cousin Vinny,1992,120,7.6,68,104334,52.93
Cast Away,2000,143,7.8,73,511678,233.63
Captain America: The Winter Soldier,2014,136,7.7,70,720308,259.77
X-Men: Days of Future Past,2014,132,7.9,75,651096,233.92
Your Name.,2016,106,8.4,79,179719,5.02
Close Encounters of the Third Kind,1977,138,7.6,90,180821,132.09
The Invisible Guest,2016,106,8.1,0,128235,
Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,58,929555,309.13
Casablanca,1942,102,8.5,100,510878,1.02
Black Swan,2010,108,8,79,687091,106.95
Halloween,1978,91,7.8,87,222863,47
Remember the Titans,2000,113,7.8,48,194650,115.65
Inside Out,2015,95,8.1,94,594028,356.46
Howl's Moving Castle,2004,119,8.2,80,320293,4.71
The Intouchables,2011,112,8.5,57,738144,13.18
Fear and Loathing in Las Vegas,1998,118,7.6,41,255384,10.68
Capernaum,2018,126,8.4,75,54318,1.66
Dil Bechara,2020,101,8.8,0,102752,
Citizen Kane,1941,119,8.3,100,390083,1.59
Zombieland,2009,88,7.6,73,511553,75.59
Once Upon a Time in the West,1968,165,8.5,80,295875,5.32
Children of Men,2006,109,7.9,84,457118,35.55
Dances with Wolves,1990,181,8,72,235500,184.21
Warrior,2011,140,8.2,71,428243,13.66
Dallas Buyers Club,2013,117,8,80,430969,27.3
Memories of Murder,2003,132,8.1,82,128922,0.01
The Sound of Music,1965,172,8,63,198870,163.21
Fried Green Tomatoes,1991,130,7.7,64,65594,82.42
Edward Scissorhands,1990,105,7.9,74,437899,56.36
The Nightmare Before Christmas,1993,76,8,82,285699,75.08
Lost in Translation,2003,102,7.7,89,404420,44.59
Indiana Jones and the Last Crusade,1989,127,8.2,65,678077,197.17
Boyz n the Hood,1991,112,7.8,76,122145,57.5
"Monsters, Inc.",2001,92,8,79,796327,289.92
Brokeback Mountain,2005,134,7.7,87,317515,83.04
The Wizard of Oz,1939,102,8,100,366636,2.08
The Incredibles,2004,115,8,90,643724,261.44
Office Space,1999,89,7.7,68,238005,10.82
Searching,2018,102,7.6,71,133831,26.02
Deliverance,1972,109,7.7,80,96960,7.06
City of God,2002,130,8.6,79,686816,7.56
Gone with the Wind,1939,238,8.1,97,284497,198.68
The Pianist,2002,150,8.5,85,709398,32.57
The Hunt,2012,115,8.3,77,270329,0.69
Edge of Tomorrow,2014,113,7.9,71,587116,100.21
True Grit,2010,110,7.6,80,305584,171.24
Shrek,2001,90,7.8,84,601087,267.67
Silver Linings Playbook,2012,122,7.7,81,651824,132.09
Magnolia,1999,188,8,77,285055,22.46
The Florida Project,2017,111,7.6,92,90423,5.9
American Gangster,2007,157,7.8,76,384096,130.16
Predator,1987,107,7.8,45,365209,59.74
Wind River,2017,107,7.7,73,196015,33.8
The Hobbit: The Desolation of Smaug,2013,161,7.8,66,591455,258.37
Hidden Figures,2016,127,7.8,74,193817,169.61
Taken,2008,90,7.8,51,558499,145
Primal Fear,1996,129,7.7,47,182653,56.12
Finding Nemo,2003,100,8.1,90,929497,380.84
In Bruges,2008,107,7.9,67,384191,7.76
12 Monkeys,1995,129,8,74,569402,57.14
Stagecoach,1939,96,7.8,93,42388,
Up,2009,96,8.2,88,913148,293
Moonrise Kingdom,2012,94,7.8,84,312171,45.51
The Thin Red Line,1998,170,7.6,78,169541,36.4
Sherlock Holmes,2009,128,7.6,57,574651,209.03
Vertigo,1958,128,8.3,100,353808,3.2
Blow,2001,124,7.6,52,236917,52.99
Aladdin,1992,90,8,86,364650,217.35
Unforgiven,1992,130,8.2,85,368016,101.16
Minority Report,2002,145,7.6,80,499537,132.07
Argo,2012,120,7.7,86,563828,136.03
Tangled,2010,100,7.7,71,396778,200.82
L.A. Confidential,1997,138,8.2,90,522306,64.62
Crash,2004,112,7.7,66,415495,54.58
Incredibles 2,2018,118,7.6,80,240228,608.58
